trip_num,route_rank,cost,similarity_score,coverage_score,distance_score,num_edges,num_gps_points
22,4,5553.839999999999,0.49721466093513156,0.5348837209302325,0.44071107094248,124,43
22,5,5568.879999999999,0.49360969114289627,0.5348837209302325,0.4316986464618918,123,43
24,1,2125.4500000000003,0.8764336898244507,0.9,0.8410842245611265,32,20
24,2,2131.3900000000003,0.8764336898244507,0.9,0.8410842245611265,33,20
25,1,2002.91,0.7064541958783295,0.5769230769230769,0.9007508743112083,102,26
25,2,1997.3600000000001,0.7060715886873745,0.5769230769230769,0.8997943563338209,101,26
25,3,2007.13,0.7060715886873745,0.5769230769230769,0.8997943563338209,102,26
25,4,2002.58,0.7042697301645329,0.5769230769230769,0.8952897100267169,102,26
25,5,1997.03,0.7038894426834841,0.5769230769230769,0.8943389913240951,101,26
26,1,20.7,0.9512740706638453,1.0,0.8781851766596133,1,8
26,2,41.4,0.9512740706638453,1.0,0.8781851766596133,2,8
26,3,41.4,0.9512740706638453,1.0,0.8781851766596133,2,8
26,4,20.7,0.9402155544864913,1.0,0.8505388862162283,1,8
27,1,8652.089999999997,0.06450308933697534,0.10526315789473684,0.003362986500333097,123,57
27,2,8601.409999999998,0.04289953949460255,0.07017543859649122,0.0019856908417695347,116,57
27,3,8605.159999999998,0.042888245052478485,0.07017543859649122,0.0019574547364593726,116,57
27,4,8648.729999999998,0.04281200585919787,0.07017543859649122,0.0017668567532578348,117,57
27,5,8652.479999999998,0.04280195612692263,0.07017543859649122,0.0017417324225697313,117,57
28,1,2816.7100000000005,0.15372502816248074,0.2413793103448276,0.022243604888960412,79,29
28,2,2803.2400000000007,0.133014476389428,0.20689655172413793,0.02219136338736314,78,29
29,1,1670.8400000000001,0.8324142721587887,0.8333333333333334,0.8310356803969717,29,18
29,2,1709.46,0.8324142721587887,0.8333333333333334,0.8310356803969717,30,18
32,1,4759.640000000001,0.5449542828624028,0.5333333333333333,0.5623857071560069,104,45
32,2,4697.300000000001,0.531595866207881,0.5111111111111111,0.5623229988530359,103,45
32,3,4648.740000000001,0.5297866793454238,0.5111111111111111,0.5578000316968929,103,45
32,4,4586.400000000001,0.5164284672195182,0.4888888888888889,0.5577378347154621,102,45
33,1,3411.8499999999985,0.216266289982473,0.2894736842105263,0.10645519864039295,61,38
33,2,3330.9399999999987,0.21624164895343412,0.2894736842105263,0.10639359606779579,60,38
34,1,4231.049999999997,0.5270710657487925,0.5833333333333334,0.4426776643719812,72,36
34,2,4163.439999999997,0.5270577512441533,0.5833333333333334,0.4426443781103832,71,36
34,3,4387.200000000001,0.17466289355057205,0.2777777777777778,0.01999056720976347,77,36
34,4,4245.46,0.1394181856845436,0.2222222222222222,0.015212130878025655,79,36
34,5,4177.85,0.139417728146241,0.2222222222222222,0.015210987032269188,78,36
35,1,1670.04,0.22098271558408608,0.23529411764705882,0.19951561248962696,33,17
35,2,1681.06,0.22098271558408608,0.23529411764705882,0.19951561248962696,34,17
35,3,1760.6499999999999,0.22071208592794614,0.23529411764705882,0.1988390383492771,34,17
35,4,1702.53,0.22065056488217172,0.23529411764705882,0.198685235734841,33,17
35,5,1713.55,0.22065056488217172,0.23529411764705882,0.198685235734841,34,17
